,Age in 5-year groups,Type of place of residence,Number of household members,Source of drinking water,Has electricity,Type of toilet facility,Has radio,Time to get to water source (minutes),Age of head of household,under-5 mortality
3061,40-44,rural,9.0,,,,,,,0.216
3062,40-44,rural,9.0,unprotected spring,no,,,,,0.26956521739130435
3063,40-44,rural,9.0,unprotected spring,no,,yes,,,0.24324324324324326
3064,40-44,rural,9.0,unprotected spring,,,,,,0.26956521739130435
3065,40-44,rural,9.0,unprotected spring,,,yes,,,0.24324324324324326
3066,40-44,rural,,unprotected well,no,pit latrine without slab/open pit,,,,0.1504424778761062
3067,40-44,rural,,unprotected well,no,pit latrine without slab/open pit,yes,,,0.08823529411764706
3068,40-44,rural,,unprotected well,,pit latrine without slab/open pit,,,,0.1504424778761062
3069,40-44,rural,,unprotected well,,pit latrine without slab/open pit,yes,,,0.08823529411764706
3070,40-44,rural,,unprotected well,no,no facility/bush/field,,,,0.07407407407407407
3071,40-44,rural,,unprotected well,,no facility/bush/field,,,,0.07407407407407407
3072,40-44,rural,,unprotected well,no,,no,,,0.1590909090909091
3073,40-44,rural,,unprotected well,no,,yes,,,0.17518248175182483
3074,40-44,rural,,unprotected well,no,,,,,0.1688888888888889
3075,40-44,rural,,unprotected well,,,no,,,0.1590909090909091
3076,40-44,rural,,unprotected well,,,yes,,,0.17518248175182483
3077,40-44,rural,,unprotected well,,,,,,0.1688888888888889
3078,40-44,rural,,unprotected well,no,,,10.0,,0.22972972972972974
3079,40-44,rural,,unprotected well,,,,10.0,,0.22972972972972974
3080,40-44,rural,,unprotected spring,no,,,20.0,,0.28695652173913044
3081,40-44,rural,,unprotected spring,no,,yes,20.0,,0.20588235294117646
3082,40-44,rural,,unprotected spring,,,,20.0,,0.28695652173913044
3083,40-44,rural,,unprotected spring,,,yes,20.0,,0.20588235294117646
3084,40-44,rural,,unprotected spring,no,pit latrine without slab/open pit,no,,,0.2823529411764706
3085,40-44,rural,,unprotected spring,no,pit latrine without slab/open pit,yes,,,0.26126126126126126
3086,40-44,rural,,unprotected spring,no,pit latrine without slab/open pit,,,,0.27040816326530615
3087,40-44,rural,,unprotected spring,,pit latrine without slab/open pit,no,,,0.2823529411764706
3088,40-44,rural,,unprotected spring,,pit latrine without slab/open pit,yes,,,0.26126126126126126
3089,40-44,rural,,unprotected spring,,pit latrine without slab/open pit,,,,0.27040816326530615
3090,40-44,rural,,unprotected spring,no,no facility/bush/field,no,,,0.24647887323943662
3091,40-44,rural,,unprotected spring,no,no facility/bush/field,yes,,,0.24175824175824176
3092,40-44,rural,,unprotected spring,no,no facility/bush/field,,,,0.2446351931330472
3093,40-44,rural,,unprotected spring,,no facility/bush/field,no,,,0.24647887323943662
3094,40-44,rural,,unprotected spring,,no facility/bush/field,yes,,,0.24175824175824176
3095,40-44,rural,,unprotected spring,,no facility/bush/field,,,,0.2446351931330472
3096,40-44,rural,,unprotected spring,no,pit latrine with slab,,,,0.22330097087378642
3097,40-44,rural,,unprotected spring,no,pit latrine with slab,yes,,,0.2261904761904762
3098,40-44,rural,,unprotected spring,,pit latrine with slab,,,,0.22330097087378642
3099,40-44,rural,,unprotected spring,,pit latrine with slab,yes,,,0.2261904761904762
3100,40-44,rural,,unprotected spring,no,,no,,,0.2549800796812749
3101,40-44,rural,,unprotected spring,no,,yes,,,0.25705329153605017
3102,40-44,rural,,unprotected spring,no,,,,,0.256140350877193
3103,40-44,rural,,unprotected spring,no,,,,40.0,0.3125
3104,40-44,rural,,unprotected spring,,,no,,,0.2549800796812749
3105,40-44,rural,,unprotected spring,,,yes,,,0.25705329153605017
3106,40-44,rural,,unprotected spring,,,,,,0.256140350877193
3107,40-44,rural,,unprotected spring,,,,,40.0,0.3125
3108,40-44,rural,,unprotected spring,no,,,10.0,,0.18181818181818182
3109,40-44,rural,,unprotected spring,,,,10.0,,0.18181818181818182
3110,40-44,rural,,unprotected spring,no,,,15.0,,0.30120481927710846
3111,40-44,rural,,unprotected spring,,,,15.0,,0.30120481927710846
3112,40-44,rural,,unprotected spring,no,,no,30.0,,0.25862068965517243
3113,40-44,rural,,unprotected spring,no,,,30.0,,0.24752475247524752
3114,40-44,rural,,unprotected spring,,,no,30.0,,0.25862068965517243
3115,40-44,rural,,unprotected spring,,,,30.0,,0.24752475247524752
3116,40-44,rural,,tube well or borehole,no,pit latrine without slab/open pit,,,,0.22535211267605634
3117,40-44,rural,,tube well or borehole,no,pit latrine without slab/open pit,yes,,,0.17647058823529413
3118,40-44,rural,,tube well or borehole,,pit latrine without slab/open pit,,,,0.22535211267605634
3119,40-44,rural,,tube well or borehole,,pit latrine without slab/open pit,yes,,,0.17647058823529413
3120,40-44,rural,,tube well or borehole,no,no facility/bush/field,,,,0.12727272727272726
3121,40-44,rural,,tube well or borehole,,no facility/bush/field,,,,0.12727272727272726
3122,40-44,rural,,tube well or borehole,no,pit latrine with slab,,,,0.22772277227722773
3123,40-44,rural,,tube well or borehole,no,pit latrine with slab,yes,,,0.2465753424657534
3124,40-44,rural,,tube well or borehole,,pit latrine with slab,,,,0.22772277227722773
3125,40-44,rural,,tube well or borehole,,pit latrine with slab,yes,,,0.2465753424657534
3126,40-44,rural,,tube well or borehole,no,,no,,,0.21686746987951808
3127,40-44,rural,,tube well or borehole,no,,yes,,,0.22164948453608246
3128,40-44,rural,,tube well or borehole,no,,,,,0.21944444444444444
3129,40-44,rural,,tube well or borehole,no,,,,40.0,0.25
3130,40-44,rural,,tube well or borehole,,,no,,,0.21686746987951808
3131,40-44,rural,,tube well or borehole,,,yes,,,0.22164948453608246
3132,40-44,rural,,tube well or borehole,,,,,,0.21944444444444444
3133,40-44,rural,,tube well or borehole,,,,,40.0,0.25
3134,40-44,rural,,tube well or borehole,no,,,10.0,,0.3611111111111111
3135,40-44,rural,,tube well or borehole,,,,10.0,,0.3611111111111111
3136,40-44,rural,,protected well,no,pit latrine without slab/open pit,,,,0.2619047619047619
3137,40-44,rural,,protected well,no,pit latrine without slab/open pit,yes,,,0.2962962962962963
3138,40-44,rural,,protected well,,pit latrine without slab/open pit,,,,0.2619047619047619
3139,40-44,rural,,protected well,,pit latrine without slab/open pit,yes,,,0.2962962962962963
3140,40-44,rural,,protected well,no,no facility/bush/field,,,,0.19318181818181818
3141,40-44,rural,,protected well,,no facility/bush/field,,,,0.19318181818181818
3142,40-44,rural,,protected well,no,pit latrine with slab,,,,0.2857142857142857
3143,40-44,rural,,protected well,,pit latrine with slab,,,,0.2857142857142857
3144,40-44,rural,,protected well,no,ventilated improved pit latrine (vip),,,,0.19642857142857142
3145,40-44,rural,,protected well,no,ventilated improved pit latrine (vip),yes,,,0.2111111111111111
3146,40-44,rural,,protected well,,ventilated improved pit latrine (vip),,,,0.19327731092436976
3147,40-44,rural,,protected well,,ventilated improved pit latrine (vip),yes,,,0.20618556701030927
3148,40-44,rural,,protected well,no,,no,,,0.2
3149,40-44,rural,,protected well,no,,yes,,,0.25190839694656486
3150,40-44,rural,,protected well,no,,,,,0.23261390887290168
3151,40-44,rural,,protected well,no,,,,40.0,0.08196721311475409
3152,40-44,rural,,protected well,,,no,,,0.2
3153,40-44,rural,,protected well,,,yes,,,0.24907063197026022
3154,40-44,rural,,protected well,,,,,,0.23113207547169812
3155,40-44,rural,,protected well,,,,,40.0,0.08196721311475409
3156,40-44,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,20.0,,0.10588235294117647
3157,40-44,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,,20.0,,0.10588235294117647
3158,40-44,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,pit latrine without slab/open pit,no,,,0.2
3159,40-44,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,pit latrine without slab/open pit,yes,,,0.3157894736842105
3160,40-44,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,pit latrine without slab/open pit,,,,0.2611111111111111
3161,40-44,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,pit latrine without slab/open pit,no,,,0.2
3162,40-44,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,pit latrine without slab/open pit,yes,,,0.3157894736842105
3163,40-44,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,pit latrine without slab/open pit,,,,0.2611111111111111
3164,40-44,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,no facility/bush/field,no,,,0.22388059701492538
3165,40-44,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,no facility/bush/field,yes,,,0.15
3166,40-44,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,no facility/bush/field,,,,0.19230769230769232
3167,40-44,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,no facility/bush/field,no,,,0.22388059701492538
3168,40-44,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,no facility/bush/field,yes,,,0.15
3169,40-44,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,no facility/bush/field,,,,0.19230769230769232
3170,40-44,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,pit latrine with slab,,,,0.1717171717171717
3171,40-44,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,pit latrine with slab,yes,,,0.14492753623188406
3172,40-44,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,pit latrine with slab,,,,0.1717171717171717
3173,40-44,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,pit latrine with slab,yes,,,0.14492753623188406
3174,40-44,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,ventilated improved pit latrine (vip),,,,0.2982456140350877
3175,40-44,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,ventilated improved pit latrine (vip),,,,0.2982456140350877
3176,40-44,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,no,,,0.21951219512195122
3177,40-44,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,yes,,,0.2226148409893993
3178,40-44,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,,,0.22105263157894736
3179,40-44,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,,50.0,0.375
3180,40-44,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,no,,,0.21951219512195122
3181,40-44,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,yes,,,0.2226148409893993
3182,40-44,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,,,,0.22105263157894736
3183,40-44,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,,,50.0,0.375
3184,40-44,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,10.0,,0.21686746987951808
3185,40-44,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,,10.0,,0.21686746987951808
3186,40-44,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,15.0,,0.225
3187,40-44,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,,15.0,,0.225
3188,40-44,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,30.0,,0.25316455696202533
3189,40-44,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,,30.0,,0.25316455696202533
3190,40-44,rural,,protected spring,no,,,,,0.2926829268292683
3191,40-44,rural,,protected spring,,,,,,0.2926829268292683
3192,40-44,rural,,public tap/standpipe,no,,no,,,0.25
3193,40-44,rural,,public tap/standpipe,no,,yes,,,0.1978021978021978
3194,40-44,rural,,public tap/standpipe,no,,,,,0.22285714285714286
3195,40-44,rural,,public tap/standpipe,,,no,,,0.25
3196,40-44,rural,,public tap/standpipe,,,yes,,,0.2
3197,40-44,rural,,public tap/standpipe,,,,,,0.22346368715083798
3198,40-44,rural,,public tap/standpipe,,ventilated improved pit latrine (vip),,,,0.2222222222222222
3199,40-44,rural,,,no,pit latrine without slab/open pit,,20.0,,0.25862068965517243
3200,40-44,rural,,,,pit latrine without slab/open pit,,20.0,,0.25862068965517243
3201,40-44,rural,,,no,no facility/bush/field,,20.0,,0.1875
3202,40-44,rural,,,,no facility/bush/field,,20.0,,0.1875
3203,40-44,rural,,,no,,no,20.0,,0.2517985611510791
3204,40-44,rural,,,no,,yes,20.0,,0.15625
3205,40-44,rural,,,no,,,20.0,,0.19637462235649547
3206,40-44,rural,,,,,no,20.0,,0.2517985611510791
3207,40-44,rural,,,,,yes,20.0,,0.15625
3208,40-44,rural,,,,,,20.0,,0.19637462235649547
3209,40-44,rural,,,no,pit latrine without slab/open pit,no,,,0.2356164383561644
3210,40-44,rural,,,no,pit latrine without slab/open pit,yes,,,0.23728813559322035
3211,40-44,rural,,,no,pit latrine without slab/open pit,,,,0.23655913978494625
3212,40-44,rural,,,no,pit latrine without slab/open pit,,,45.0,0.15384615384615385
3213,40-44,rural,,,no,pit latrine without slab/open pit,,,40.0,0.12121212121212122
3214,40-44,rural,,,no,pit latrine without slab/open pit,,,43.0,0.25396825396825395
3215,40-44,rural,,,no,pit latrine without slab/open pit,,,50.0,0.2571428571428571
3216,40-44,rural,,,,pit latrine without slab/open pit,no,,,0.2356164383561644
3217,40-44,rural,,,,pit latrine without slab/open pit,yes,,,0.23728813559322035
3218,40-44,rural,,,,pit latrine without slab/open pit,,,,0.23655913978494625
3219,40-44,rural,,,,pit latrine without slab/open pit,,,45.0,0.15384615384615385
3220,40-44,rural,,,,pit latrine without slab/open pit,,,40.0,0.12121212121212122
3221,40-44,rural,,,,pit latrine without slab/open pit,,,43.0,0.25396825396825395
3222,40-44,rural,,,,pit latrine without slab/open pit,,,50.0,0.2571428571428571
3223,40-44,rural,,,no,no facility/bush/field,no,,,0.22127659574468084
3224,40-44,rural,,,no,no facility/bush/field,no,,40.0,0.31
3225,40-44,rural,,,no,no facility/bush/field,yes,,,0.1956521739130435
3226,40-44,rural,,,no,no facility/bush/field,,,,0.21179624664879357
3227,40-44,rural,,,no,no facility/bush/field,,,40.0,0.29931972789115646
3228,40-44,rural,,,,no facility/bush/field,no,,,0.22127659574468084
3229,40-44,rural,,,,no facility/bush/field,no,,40.0,0.31
3230,40-44,rural,,,,no facility/bush/field,yes,,,0.1956521739130435
3231,40-44,rural,,,,no facility/bush/field,,,,0.21179624664879357
3232,40-44,rural,,,,no facility/bush/field,,,40.0,0.29931972789115646
3233,40-44,rural,,,no,pit latrine with slab,no,,,0.23776223776223776
3234,40-44,rural,,,no,pit latrine with slab,yes,,,0.21221864951768488
3235,40-44,rural,,,no,pit latrine with slab,,,,0.22026431718061673
3236,40-44,rural,,,no,pit latrine with slab,,,45.0,0.16923076923076924
3237,40-44,rural,,,no,pit latrine with slab,,,40.0,0.23333333333333334
3238,40-44,rural,,,,pit latrine with slab,no,,,0.23776223776223776
3239,40-44,rural,,,,pit latrine with slab,yes,,,0.21221864951768488
3240,40-44,rural,,,,pit latrine with slab,,,,0.22026431718061673
3241,40-44,rural,,,,pit latrine with slab,,,45.0,0.16923076923076924
3242,40-44,rural,,,,pit latrine with slab,,,40.0,0.23333333333333334
3243,40-44,rural,,,no,ventilated improved pit latrine (vip),no,,,0.21212121212121213
3244,40-44,rural,,,no,ventilated improved pit latrine (vip),yes,,,0.2883895131086142
3245,40-44,rural,,,no,ventilated improved pit latrine (vip),,,,0.2677595628415301
3246,40-44,rural,,,,ventilated improved pit latrine (vip),no,,,0.21212121212121213
3247,40-44,rural,,,,ventilated improved pit latrine (vip),yes,,,0.2841726618705036
3248,40-44,rural,,,,ventilated improved pit latrine (vip),,,,0.26525198938992045
3249,40-44,rural,,,no,,no,,,0.2264840182648402
3250,40-44,rural,,,no,,no,,45.0,0.25925925925925924
3251,40-44,rural,,,no,,no,,40.0,0.25462962962962965
3252,40-44,rural,,,no,,no,,42.0,0.1509433962264151
3253,40-44,rural,,,no,,no,,43.0,0.18421052631578946
3254,40-44,rural,,,no,,yes,,,0.23271375464684016
3255,40-44,rural,,,no,,yes,,55.0,0.13846153846153847
3256,40-44,rural,,,no,,yes,,45.0,0.1532258064516129
3257,40-44,rural,,,no,,yes,,40.0,0.21428571428571427
3258,40-44,rural,,,no,,yes,,42.0,0.3068181818181818
3259,40-44,rural,,,no,,yes,,50.0,0.26143790849673204
3260,40-44,rural,,,no,,,,,0.22991803278688525
3261,40-44,rural,,,no,,,,55.0,0.1650485436893204
3262,40-44,rural,,,no,,,,45.0,0.1951219512195122
3263,40-44,rural,,,no,,,,40.0,0.24085365853658536
3264,40-44,rural,,,no,,,,65.0,0.11666666666666667
3265,40-44,rural,,,no,,,,42.0,0.24822695035460993
3266,40-44,rural,,,no,,,,43.0,0.18796992481203006
3267,40-44,rural,,,no,,,,38.0,0.1320754716981132
3268,40-44,rural,,,no,,,,50.0,0.27230046948356806
3269,40-44,rural,,,no,,,,46.0,0.13636363636363635
3270,40-44,rural,,,no,,,,62.0,0.3055555555555556
3271,40-44,rural,,,no,,,,56.0,0.2459016393442623
3272,40-44,rural,,,no,,,,44.0,0.22972972972972974
3273,40-44,rural,,,no,,,,53.0,0.3
3274,40-44,rural,,,,,no,,,0.2264840182648402
3275,40-44,rural,,,,,no,,45.0,0.25925925925925924
3276,40-44,rural,,,,,no,,40.0,0.25462962962962965
3277,40-44,rural,,,,,no,,42.0,0.1509433962264151
3278,40-44,rural,,,,,no,,43.0,0.18421052631578946
3279,40-44,rural,,,,,yes,,,0.2323008849557522
3280,40-44,rural,,,,,yes,,55.0,0.13846153846153847
3281,40-44,rural,,,,,yes,,45.0,0.1532258064516129
3282,40-44,rural,,,,,yes,,40.0,0.21428571428571427
3283,40-44,rural,,,,,yes,,42.0,0.3068181818181818
3284,40-44,rural,,,,,yes,,50.0,0.26143790849673204
3285,40-44,rural,,,,,,,,0.22970216238270094
3286,40-44,rural,,,,,,,55.0,0.1650485436893204
3287,40-44,rural,,,,,,,45.0,0.1951219512195122
3288,40-44,rural,,,,,,,40.0,0.24085365853658536
3289,40-44,rural,,,,,,,65.0,0.11940298507462686
3290,40-44,rural,,,,,,,42.0,0.24822695035460993
3291,40-44,rural,,,,,,,43.0,0.18796992481203006
3292,40-44,rural,,,,,,,38.0,0.1320754716981132
3293,40-44,rural,,,,,,,50.0,0.27230046948356806
3294,40-44,rural,,,,,,,46.0,0.13636363636363635
3295,40-44,rural,,,,,,,62.0,0.3055555555555556
3296,40-44,rural,,,,,,,56.0,0.2459016393442623
3297,40-44,rural,,,,,,,44.0,0.22972972972972974
3298,40-44,rural,,,,,,,53.0,0.3
3299,40-44,rural,,,no,,,0.0,,0.1452991452991453
3300,40-44,rural,,,no,,yes,0.0,,0.1568627450980392
3301,40-44,rural,,,,,,0.0,,0.1452991452991453
3302,40-44,rural,,,,,yes,0.0,,0.1568627450980392
3303,40-44,rural,,,no,pit latrine without slab/open pit,no,10.0,,0.22580645161290322
3304,40-44,rural,,,no,pit latrine without slab/open pit,yes,10.0,,0.275
3305,40-44,rural,,,no,pit latrine without slab/open pit,,10.0,,0.24855491329479767
3306,40-44,rural,,,,pit latrine without slab/open pit,no,10.0,,0.22580645161290322
3307,40-44,rural,,,,pit latrine without slab/open pit,yes,10.0,,0.275
3308,40-44,rural,,,,pit latrine without slab/open pit,,10.0,,0.24855491329479767
3309,40-44,rural,,,no,no facility/bush/field,no,10.0,,0.18571428571428572
3310,40-44,rural,,,no,no facility/bush/field,,10.0,,0.22641509433962265
3311,40-44,rural,,,,no facility/bush/field,no,10.0,,0.18571428571428572
3312,40-44,rural,,,,no facility/bush/field,,10.0,,0.22641509433962265
3313,40-44,rural,,,no,pit latrine with slab,,10.0,,0.2222222222222222
3314,40-44,rural,,,,pit latrine with slab,,10.0,,0.2222222222222222
3315,40-44,rural,,,,ventilated improved pit latrine (vip),,10.0,,0.34545454545454546
3316,40-44,rural,,,no,,no,10.0,,0.22772277227722773
3317,40-44,rural,,,no,,yes,10.0,,0.2828282828282828
3318,40-44,rural,,,no,,,10.0,,0.255
3319,40-44,rural,,,no,,,10.0,40.0,0.2537313432835821
3320,40-44,rural,,,,,no,10.0,,0.22772277227722773
3321,40-44,rural,,,,,yes,10.0,,0.28217821782178215
3322,40-44,rural,,,,,,10.0,,0.25495049504950495
3323,40-44,rural,,,,,,10.0,40.0,0.2537313432835821
3324,40-44,rural,,,no,pit latrine without slab/open pit,,15.0,,0.20491803278688525
3325,40-44,rural,,,no,pit latrine without slab/open pit,yes,15.0,,0.24242424242424243
3326,40-44,rural,,,,pit latrine without slab/open pit,,15.0,,0.20491803278688525
3327,40-44,rural,,,,pit latrine without slab/open pit,yes,15.0,,0.24242424242424243
3328,40-44,rural,,,no,no facility/bush/field,no,15.0,,0.14814814814814814
3329,40-44,rural,,,no,no facility/bush/field,,15.0,,0.13846153846153847
3330,40-44,rural,,,,no facility/bush/field,no,15.0,,0.14814814814814814
3331,40-44,rural,,,,no facility/bush/field,,15.0,,0.13846153846153847
3332,40-44,rural,,,no,,no,15.0,,0.15873015873015872
3333,40-44,rural,,,no,,yes,15.0,,0.2569444444444444
3334,40-44,rural,,,no,,,15.0,,0.2111111111111111
3335,40-44,rural,,,,,no,15.0,,0.15873015873015872
3336,40-44,rural,,,,,yes,15.0,,0.2569444444444444
3337,40-44,rural,,,,,,15.0,,0.2111111111111111
3338,40-44,rural,,,no,,,60.0,,0.14814814814814814
3339,40-44,rural,,,,,,60.0,,0.14814814814814814
3340,40-44,rural,,,no,pit latrine without slab/open pit,,5.0,,0.11363636363636363
3341,40-44,rural,,,,pit latrine without slab/open pit,,5.0,,0.11363636363636363
3342,40-44,rural,,,no,,no,5.0,,0.18571428571428572
3343,40-44,rural,,,no,,yes,5.0,,0.21428571428571427
3344,40-44,rural,,,no,,,5.0,,0.2
3345,40-44,rural,,,,,no,5.0,,0.18571428571428572
3346,40-44,rural,,,,,yes,5.0,,0.21428571428571427
3347,40-44,rural,,,,,,5.0,,0.2
3348,40-44,rural,,,no,pit latrine without slab/open pit,,30.0,,0.34831460674157305
3349,40-44,rural,,,,pit latrine without slab/open pit,,30.0,,0.34831460674157305
3350,40-44,rural,,,no,no facility/bush/field,no,30.0,,0.18333333333333332
3351,40-44,rural,,,no,no facility/bush/field,,30.0,,0.17699115044247787
